Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Final Project-Login and Add Booking,,,,13-02-2024 15:30:38,13-02-2024 15:30:44,5.961s,PASSED
,,,,,,,
Test Cases/Final Project API/Add Booking,,,,13-02-2024 15:30:38,13-02-2024 15:30:42,3.704s,PASSED
"resp = sendRequest(findTestObject(""Final Proj API/CreateBooking""))",,,,13-02-2024 15:30:38,13-02-2024 15:30:42,3.510s,PASSED
"verifyResponseStatusCode(resp, 200)",,,,13-02-2024 15:30:42,13-02-2024 15:30:42,0.042s,PASSED
,,,,,,,
Test Cases/Final Project API/Check GetBooking,,,,13-02-2024 15:30:42,13-02-2024 15:30:44,1.885s,PASSED
"responseGetBooking = sendRequest(findTestObject(""Final Proj API/Booking - GetBooking"", [""id"":""1""]))",,,,13-02-2024 15:30:42,13-02-2024 15:30:44,1.803s,PASSED
"verifyResponseStatusCode(responseGetBooking, 200)",,,,13-02-2024 15:30:44,13-02-2024 15:30:44,0.003s,PASSED
